name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perth,10/13/2022,19.4,5.4,13,19.4,5.4,12.8,4.8,59.8,0,0,0,,0,0,29.5,27.3,204.4,1023.5,2.5,14.4,303,26,10,10,2022-10-13T05:39:43,2022-10-13T18:26:37,0.61,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,10/14/2022,20.3,4,13.8,20.3,4,13.8,6.5,65,0,0,0,,0,0,20.5,15.8,200.9,1019,23.7,13.8,304.8,26.4,10,10,2022-10-14T05:38:32,2022-10-14T18:27:20,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95614099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,10/15/2022,21.6,7.4,14.8,21.6,7.4,14.8,7.9,66.5,0,0,0,,0,0,25.6,19.8,203.8,1016.6,16.1,14.9,311.7,26.9,10,10,2022-10-15T05:37:20,2022-10-15T18:28:03,0.67,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/16/2022,20.1,7.7,14.6,20.1,7.7,14.6,7.6,66.7,0.481,100,4.17,rain,0,0,34.6,18.1,235.2,1015.8,32.8,14.4,307.3,26.5,10,10,2022-10-16T05:36:10,2022-10-16T18:28:47,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/17/2022,20.3,9.3,15.4,20.3,8.4,15.4,9.8,71.4,0.373,100,8.33,rain,0,0,38.2,27.7,197.9,1019.4,32.2,13.5,231.9,20,10,10,2022-10-17T05:35:00,2022-10-17T18:29:31,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,10/18/2022,23,11.4,17,23,11.4,17,9.8,64,0,0,0,,0,0,33.1,19.6,145.7,1019.2,0,13.2,293,25.3,10,10,2022-10-18T05:33:51,2022-10-18T18:30:16,0.75,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,10/19/2022,29.8,10.8,19.5,28.2,10.8,19.3,9.4,59.4,0,0,0,,0,0,35.3,16.7,242.3,1012.1,8.4,14.8,309.6,26.9,10,10,2022-10-19T05:32:43,2022-10-19T18:31:01,0.8,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/20/2022,22.7,15,17.9,22.7,15,17.9,13.3,76.5,0.287,100,4.17,rain,0,0,24.8,17.1,251,1013.3,69.1,12.7,207.4,17.7,10,10,2022-10-20T05:31:36,2022-10-20T18:31:46,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/21/2022,20.2,13.9,16.7,20.2,13.9,16.7,12.1,76.6,3.614,100,8.33,rain,0,0,25.2,18.4,223.5,1015.3,84.8,14.6,190.4,16.6,9,10,2022-10-21T05:30:29,2022-10-21T18:32:32,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,YPPH,95610099999,94602099999,YPEA,94614099999,94608099999"
Perth,10/22/2022,22.4,13.7,17.6,22.4,13.7,17.6,12.3,72.2,0.995,100,12.5,rain,0,0,27.4,14.6,175.1,1014.9,51.4,18,168.1,14.3,8,10,2022-10-22T05:29:24,2022-10-22T18:33:18,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
